feature,importance,absolute_importance
CH2O,0.15158947951294738,0.15158947951294738
FAF,0.14178393768078992,0.14178393768078992
NCP,0.13593228966825827,0.13593228966825827
FCVC,0.1346323775790208,0.1346323775790208
TUE,0.1251435063054299,0.1251435063054299
CAEC_Sometimes,0.06749283285605918,0.06749283285605918
CAEC_Frequently,0.03897019956563184,0.03897019956563184
FAVC_yes,0.0326841530711337,0.0326841530711337
FAVC_no,0.032156492787616876,0.032156492787616876
MTRANS_Public_Transportation,0.02505840224195842,0.02505840224195842
CALC_Sometimes,0.02459012216069184,0.02459012216069184
CALC_no,0.021136109903595175,0.021136109903595175
MTRANS_Automobile,0.02033473491650505,0.02033473491650505
SCC_yes,0.011419392342873029,0.011419392342873029
CALC_Frequently,0.011099372456592906,0.011099372456592906
SCC_no,0.011078984598186367,0.011078984598186367
MTRANS_Walking,0.004687984412231795,0.004687984412231795
CAEC_Always,0.0033469404426878856,0.0033469404426878856
CAEC_no,0.0031260889283105378,0.0031260889283105378
MTRANS_Motorbike,0.0030678638604084573,0.0030678638604084573
MTRANS_Bike,0.0006687347090706765,0.0006687347090706765
